playerID,batting_G,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_SO,batting_IBB,batting_HBP,batting_SH,batting_SF,batting_GIDP,batting_1B,batting_TB,batting_PA,batting_OBP,batting_AVG,batting_SLG,batting_OPS,batting_SBP,batting_BAbip,batting_ISO,batting_PowerSpeedNumber,batting_ABPerHR,batting_ABPerK
ramirma02,111,410,67,117,19,0,29,78,1,1.0,72,91,12.0,5.0,0.0,6.0,17.0,69,223,493.0,9.12442221390431,6.756385199323173,13.519282959398526,22.643705173302834,1.0,7.022483856722987,6.762897760075352,1.0,193.5,114.7904761904762
ramirra01,3,11,1,2,0,0,0,1,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,2,2,12.0,0.25,0.18181818181818182,0.18181818181818182,0.4318181818181818,0.0,0.2,0.0,0.0,0.0,11.0
ramirra02,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ramosdo01,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ramoswi01,4,17,1,2,0,0,0,0,0,0.0,1,6,0.0,0.0,1.0,0.0,1.0,2,2,18.0,0.16666666666666666,0.11764705882352941,0.11764705882352941,0.28431372549019607,0.0,0.18181818181818182,0.0,0.0,0.0,2.8333333333333335
ramsemi01,3,1,1,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
randajo01,3,11,1,4,1,0,0,0,0,0.0,1,0,0.0,0.0,0.0,0.0,2.0,3,5,12.0,0.4166666666666667,0.36363636363636365,0.45454545454545453,0.8712121212121212,0.0,0.36363636363636365,0.09090909090909091,0.0,0.0,0.0
randowi01,47,162,19,36,6,1,4,14,3,1.0,20,15,0.0,0.0,0.0,2.0,5.0,25,56,184.0,3.126785714285714,2.4086910148674856,3.568092724269195,6.694878438554909,2.5,2.4247443474997654,1.1594017094017093,1.3333333333333333,46.0,57.5
rapadcl01,5,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raridbi01,10,32,2,9,0,0,0,4,1,0.0,2,1,1.0,0.0,1.0,0.0,1.0,9,9,34.0,0.6771929824561403,0.5951417004048583,0.5951417004048583,1.2723346828609987,1.0,0.6271929824561404,0.0,0.0,0.0,13.0
raschvi01,11,18,0,3,0,0,0,2,0,0.0,4,5,0.0,0.0,2.0,0.0,1.0,3,3,22.0,1.4523809523809523,0.7,0.7,2.1523809523809523,0.0,0.8333333333333333,0.0,0.0,0.0,12.0
rasmuco01,9,26,5,11,4,0,4,7,1,0.0,9,8,2.0,0.0,0.0,0.0,1.0,3,27,35.0,1.6454545454545455,1.2063492063492063,3.253968253968254,4.8994227994227995,1.0,1.1,2.0476190476190474,1.5,7.666666666666667,14.333333333333334
rasmuco02,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rathmo01,8,31,5,7,1,0,0,2,2,0.0,4,1,0.0,1.0,1.0,0.0,0.0,6,8,36.0,0.3333333333333333,0.22580645161290322,0.25806451612903225,0.5913978494623655,1.0,0.23333333333333334,0.03225806451612903,0.0,0.0,31.0
ratlipa01,1,4,0,1,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,1,1,4.0,0.25,0.25,0.25,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,4.0
raudo01,5,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rautzla01,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rawlijo01,8,30,2,10,3,0,0,4,0,1.0,0,3,0.0,1.0,0.0,0.0,0.0,7,13,31.0,0.3548387096774194,0.3333333333333333,0.43333333333333335,0.7881720430107527,0.0,0.37037037037037035,0.1,0.0,0.0,10.0
